Movie,Lists,Tags,Description,Wikipedia,Average Rating,Comments
Persona3 THE MOVIE #3 Falling Down (2015),"Under 100 Minutes; Every Animated Film Made from 1878 – present.; Japanese Animation; anime series, movies, OVAs and shorts; Every video game movie ever",,"The season turns to autumn and the fight of Makoto and his group S.E.E.S. with the strange monsters known as ‘Shadows’ is getting closer to the end. Makoto and his allies engage in life-or-death battles with Shadows in order to end the Dark Hour. Through the battles, some must face the deaths of friends and family, some must notice what precious things must be protected, and some must find meaning in the battles that have occurred. In front of Makoto, the mysterious transfer student Ryoji Mochizuki appears. When the group greets a new morning, the gears of fate begin to turn. A fight revolving around each of the heroes' bonds begins...",,3.45,"★★★★ Wow Makoto and Ryoji are gay now
★★★½ Dark hour aside, that's the gayest romcom i've ever seen
★★ the scene of akihiko coming to terms with the death of his friend was 1:44 long. the scene in which the male cast attempted to sneak out of the hot springs when the female cast walked in was 3:45 long.
★★ “Falling Down” is a very fitting title holy shit. After I came out from the last two movies satisfied, even somewhat loving the second one, Persona 3’s third movie is a thorough butchering of the story, character arcs and pacing and I honestly cannot believe how bad it is. Sure it’s pretty to look at and I appreciate that they tried giving a shit about Makoto’s character arc but it takes up the ENTIRETY of the fucking film, extending Ryoji’s screentime to an absurd degree despite him only really mattering for one reason in the actual game. The writers are skipping past MAJOR plot beats in the game at nauseating speeds, rushing through and completely fucking ruining any believability and…
★★★ Yosuke Hanamura would HATE this movie
★★★½ OMG BEBE WAS THERE
★★★½ the gayest and emoest in the tetralogy so far
★★★★★ i have three (3) questions
• how is there four romance* subplots? • why is death so hot? • how did this make me cry when i already know what’s about to happen?

* only one really but come on, you’re not telling me not a single one of the other friendships between depressed teens is not gay in some way? ain’t no way all three of makoto and ryoji, mitsuru and yukari, AND fuuka and natsuki are all straight. yes, this might be going against the characters but honestly at least try to make it not seem gay, you had three chances and you failed at all of them
adapts the worst, most overdramatic portion of the game in a really compressed way for the first and last 20 minutes, and between them we get to the best part: gay times with ryuji. this is completely a comedic filler arc and it doesn't really work at all when translated into a film format, but i appreciate that it's trying to be different from the previous two which were very drama/action focused
★★★★ ""The closer you get to someone, the more it'll hurt when they're gone.""
Easily the most plotless of these movies, although that's not really a fault of the movie itself as it is just a result of the way the original game's structured. November and December come after the starting plot wraps up for the moment, and as a result there isn't as much here in terms of action sequences, big events or character introductions, or trips to the dark hour. Instead, the time is spent mostly just flowing with the characters, as the events of the opening act change their perception and sees each of them latching on to problems and negative feelings that leaves them feeling alone or…
★★★★ ""I... I know things turned out like this, but there's one thing I can say for sure. I'm glad I met Chidori. And I'm glad that I fell in love with her.""
★★★½ Peaksona"
Schoolgirl Apocalypse (2011),J-Horror; Zombie; Japanese Horror,,"Japanese schoolgirl Sakura has her idyllic small-town life turned inside-out when the local men start savagely killing the women. Armed with only her kyudo bow for protection and an English textbook for comfort, Sakura journeys through an apocalyptic world of mayhem.",,3.33,"★★★ I was rubbing my hands (I said hands) with excited intrigue when I stumbled upon on this and read the synopsis on Prime video, hoping for another indie Japanese splatter-fest in the style of The Crazies or 28 Days Later but I was way off the mark there. Sure, things do start off on an apocalyptic note before taking on the form of an ethereal Lovecraftian nightmare, which was quite an unexpected shift in direction.
It is a little slow and overstretched at times, the editing could have been tightened up, particularly with the animated segments that act as the films dream sequences. It all has a quiet tranquil calm to it that I liked and we're in good company…
★★ Was expecting more from this Japanese film about a schoolgirl with a bow and arrow fighting against men who turn into zombies from a signal in this apocalyptic zombie horror film but after a good start the film just wastes it's potential and spends most of its runtime in a building with the main character with a blind woman and a kid in a wheelchair. Thought this would be a Takeshi Miike weirdo, gory funny and silly film but it just wanders around with not much happening. The end was silly in a good way, I liked that part but my enthusiasm and interest had gone by that point.
★★★ What a strong opening.
Unfortunately that was the movie's high point by a mile, because then it just stumbles its way through the running time. It's not bad, I quite liked the atmosphere and Sakura makes for a quite relatable protagonist, but the story takes a turn for the worse around the middle point. None of the characters are interesting besides Sakura.
But it has flair and some very interesting shot choices. Director John Cairns hasn't done any other movie in his career and that's a shame because he's good. Makes a lot of his tiny budget for sure. The script is the problem.
I like that the zombies are vulnerable.
I like that this movie is clearly the artistic work and vision of one person.
The ending was bollocks though.
★★★ Sakura lives Carefree in a Japanese Village, goes to School and is in the Archery Club. But everything changes when one Day a strange Signal turns all the Male Residents into Brainless Monsters who then want to Kill all the Women and Girls. ( Actually, it's like the last 2000 Years only that the Men Scream more and don't Speak 🤷‍♀️).
The Film then Develops a little differently than I had thought. And it is also more Calm and Serious than some other Films of this Genre from Japan. In my Opinion, though, it's a Solid Horror Survival Film with some really good Scenes. But I have to Mention one Thing : those stupid Animation Sequences in the Film makes me really Brainless and Aggressive 🤪
★★★ When a strange piercing signal sends the entire male population on a murderous zombie-like rampage, sailor-suited schoolgirl Sakura is left to fend for herself in a world gone suddenly insane. Featuring entertainingly weird animated segments and an imaginative surprise ending that I definitely didn't see coming, Schoolgirl Apocalypse is not your run-of-the-mill zombie survival flick. Hampered only by the constraints of its budget, the film is a step above typical Japanese B-movie fare and a solid first effort by director John Cairns. I look forward to seeing more of his work.
★★★½ Schoolgirl apocalypse is not what I thought it be at all in a good way. The story follows Sakura as she travels a apocalyptic world to transport a young boy to the ocean. It is similar to the road in many may ways with a weird Japanese sense. Sakura is a interesting and likeable character to follow. The zombies are interesting enough but they do fall in the background later in the movie. The story is a surprise for me mixing a coming of age story with and the road. The ending is weird but I think it fits in a weird way. In the end schoolgirl apocalypse is a surprise in a good way with some weird stuff along the way.
★★★½ Love and Massacre: October Watchlist
Everyone's addicted to the sea currents. Everyone's gone mad. The fidelities are low for the warm atmosphere. Practically, the special effects and animated dreams are cheap, but the independent vision on a shoestring has been realized. The on-screen pulp is vague and unexternalized ; something rich and empowering will come to those who wait. The young student will find the (eldritch) truth.
★★★ School teen Sakura finds herself fighting for her survival, after a mysterious signal turns all males into women-killing zombies. An interesting, slowburn dystopian horror - littered with grisly violence and surreal / quirky flourishes. The creative use of sound and the dreamy visuals shape a uniquely haunting atmosphere. A story of fragility, isolation, trauma, desperation, morality, reality / madness - with Sakura frequently disappearing into the illustrated pages of a school textbook. Higarino delivers a subtle and captivating performance as Sakura - neatly balancing vulnerability with steely resilience. Perhaps not for everybody - it is maybe overly long, sparse, ambiguous and oblique. Nevertheless, an engaging and unique journey.
Streamed via Prime Video.
★★★½ Schoolgirl Apocalypse is a nice low-budget take on the Zombie Apocalypse with some neat ideas for the paranormal aspects and well executed human horror aspects. It’s also a far away from the campiness that its title suggests.
Higa Rino stars as the schoolgirl Sakura whose small-town life takes a turn for the worse when a strange radio signal turns all men into blood-thirsty, homicidal maniacs. After her father kills her mother she’s on the run, with only her school bag and her bow to help her when encountering both other survivors and the Zombie-like males.
Despite its budgetary constraints Schoolgirl Apocalypse features some neat practical effects, although there’s an emphasis on atmosphere over action. And there’s a bunch of animated…
★★★★★ The makeup of the zombies is effective, the animation scenes are smooth and interesting, and the movie has an unexpected ending. If you like zombie films this has a unique take on the genre.
★★★★ Beautiful cinematography, excellent directing, great atmosphere and action, etc. Instead of the typical cliche sword, the main character Sakura uses a bow, which makes it all the more unique and only men are affected in this post-apocalyptic scenario. It's really compelling and original. Big fan of this movie.
★★★½ I expected this movie to be more in line with a Sushi Typhoon style film, but while the ending comes close, the majority of it is a quiet, slow-burn zombie survival flick. We follow Sakura, a schoolgirl in a sailor suit who wields a bow and arrow. After a strange tone transforms all the men into zombies, Sakura must navigate through the apocalypse.
I appreciated the film's more serious and subdued approach to zombie survival, it builds a really unsettling sense of dread with many scenes that felt dreamlike and nightmarish
I loved the overall atmosphere of this movie. The cinematography and vibe remind me a lot of late 90s to early 2000s V-cinema, particularly films like ""Stacy: Attack of…"
Ashley (2020),LGBT Horror; Things That Piqued My Interest & Tickled My Fancy,Horror,"Dragging a wheelie case behind them, Ashley arrives at an isolated, beachside cottage. They hope that this weekend in the countryside might be the change they need: a change from depression, from heartbreak, from the pain of a shifting identity. As the weekend unfolds, however, their hope wavers: things go wrong in their body, or perhaps in their mind — or perhaps there really is something, outside, developing an appetite for them…",,3.0,★★★ i spent the whole time watching this feeling a bit disorientated at how familiar the voice sounded.... confirmed in credits voiceover was a mate lol !
Belly (1998),"Random Movie Roulette; If you like (2010's movie) watch (older movie); All the Movies (Sorted by movie posters); FILM SCHOOL; High Art Genre Movies; Under 100 Minutes; Long, Weird List of Movies; My Favorite Movie Posters; Top 250 Films by Black Directors; Film Poster Déjà Vu; Black Life on Film; Letterboxd Four Favorites Interviews; for when you don't know what to watch; Interesting ones which deserve more recognition (some slightly well-known, others almost unobserved). ***When added (that is, update needed); Color; My 1000 Favorite Films of All-Time; All films set in New York City; towards a canon of interesting, and important, sex scenes; Safdie Brothers favorite films; BLACK POWER; Seth’s 100 ‘Must-Watch’ Movies before you die!; Needle on the Record: iconic music moments in movies, covered by the MUBI Podcast; New York; “This movie sucks it makes no sense” YEAH WELL YOU DONT MAKE SENSE; Forgotten Gems that should be talked about.","Drama; Crime; Crime, drugs and gangsters; Gritty crime and ruthless gangsters; Violent action, guns, and crime; Violent crime and drugs","Tommy Bundy and Sincere are best friends as well as infamous and ruthless criminals and shot-callers in the hood. Respected by many but feared by all. As the police are closing in on them and new players are looking for a come up, will their reign last?","In 1999 Queens , New York City , young street criminals Tommy ""Buns"" Bundy and Sincere (""Sin""), along with associates Mark and Black, murder five people during a violent nightclub robbery . After celebrating with the gang, Sincere returns home to his girlfriend Tionne and infant daughter Kenya.

The following morning and day, Tommy asks Sincere to help him sell a new form of heroin . Sincere, who has begun having second thoughts about his life of crime, reluctantly agrees. Tommy then visits Ox, a wealthy Jamaican drug lord, who agrees to obtain the heroin on the condition that Tommy repay him with a very special favor at a later date.

In Mark's grandmother's basement, the gang convenes to discuss the nascent drug operation; one of Tommy's associates, Knowledge, will be involved in the operation. Knowledge tells his friend Tommy over the phone that Black had been talking about robbing his friend Sincere to get his larger share of the 
vulgar conversation loot from the nightclub. Way too enraged, Tommy forces Black to strip naked in front of the others, wildly firing warning shots with a handgun into the floor.

The gang begins transporting heroin from Queens to Omaha , Nebraska , where they begin to overrun the local drug business. Big Head Rico, an Omaha dealer, informs the police of their activities. The resulting raid at their stash-house ends with Mark's death and Knowledge's arrest. Knowledge angrily realizes that Tommy will not bail him out of jail, and calls Shameek, a.k.a. Father Sha, to both infiltrate Rico's gang and kill Tommy. At a strip club, Shameek drinks shots that Rico spiked with hallucinatory powder and, under the influence, blows his own cover by telling Rico that he was sent by Knowledge to kill him. As Rico gets up and attempts to inform his henchmen, he is killed by Shameek as he tries to flee. Shameek is shot by the bartender and stumbles out of the club. He shoots at and evades the Omaha police.

Tommy travels to Jamaica and repays Ox by killing Sosa, the son of a local drug lord. Back home, Tommy's girlfriend Kisha is arrested by police and later bailed out by Tionne. Tommy finds out about the raid and leaves town. Pelpa, a close friend of Sosa, finds out that Ox ordered the hit on Sosa. Pelpa sends a hit squad to kill Ox in his home. Ox kills most of the hitmen before dying at the hands of a female assassin.

Sincere prepares to leave the drug trade and move his family to Africa , planning to leave on New Year's Day 2000. Meanwhile, while laying low in Atlanta, Tommy instigates an argument between Wise and LaKid, two marijuana dealers, which ends with both men drawing their guns and LaKid shooting Wise. After being arrested over the shooting, Tommy is coerced by a shadowy organization with unclear motives into assassinating a Christian preacher, Rev. Saviour, during a sermon on New Year's Eve . Tionne comes home and finds herself confronted by Shameek and his henchmen, who had broken into the home in hopes of finding Sincere, but were unsuccessful. After attempting to interrogate Tionne for information on Sincere and Tommy, they leave when she pulls a gun on them. When Sincere comes home, Tionne tells him what happened and insists that he get out of this dangerous life, which he agrees.

Tommy calls Sincere and asks him to come meet him at a diner in Harlem as they haven't seen each other in a long time. Comparing notes, they acknowledge that they have both changed. Tommy has been positively influenced by the Christian movement he has infiltrated and Rev. Savior, and Sincere has similarly decided to change his life in a positive direction, telling Tommy of his plans focus on his family and move to Africa. They marvel at how far they have come and how their paths have changed.

While Sincere talks to his barber outside a barbershop, Black arrives and shoots Sincere in the leg as revenge for his earlier humiliation. Sincere and his barber kill Black and his accomplice in self-defense before fleeing the scene. On New Year's Eve, a conflicted Tommy confronts Rev. Saviour before his scheduled speech and points his gun at him. Saviour convinces Tommy not to go through with his mission, even though this will put his life at risk. A tearful Tommy agrees, and the two men embrace.

Shameek breaks into one of Tommy's homes where Kisha is living, in the hopes of finding Tommy there. He interrogates and assaults Kisha, who manages to turn the tables and get a hold of Shameek's gun, shooting him in the face. In a voiceover, Sincere says he is now in Africa with his family, reflects on recent events and is happy to start a new life.",4.46,"★★★★★ The Suspiria of 90s hood movies.
★★★★ ""Born by myself, die by myself.""
Remixes a decade of American crime cinema (including Ferrara, De Palma and Bill Duke) with a form of experimental hip-hop expressionism. A blaxploitation purification story told in idiosyncratic compositions drenched in passionate colors and sudden, incomprehensible explosions of violence. Doesn't care about narrative coherency as much as it cares about capturing the intense feelings of its dark, oppressive environment; an entire network of pressure, isolation, and brutality that only ever gives you the illusion of individual choice/power. DMX plays it exactly right, all self-assured authority until it's hollowed out and crushed and offered a chance to rebuild. Don't know what I was expecting when I turned this on but I did not expect to be thinking about Takeshi Kitano or Seijun Suzuki. It's a crime that Hype Williams didn't get to develop this style further and that DMX didn't get to act in more movies than he did. RIP to a king.
★★★★ Nas and DMX read self-improvement books as the millennium approaches.
I think they ran out of money halfway through this movie because of all the insane lighting. Totally worth it. Such a delirious, disaster of a masterpiece. Reminds me a lot of Southland Tales in its apocalyptic vision of the new American millennium and how its auteur director was perhaps driven mad by it, or at the very least never got another bite of the apple. Hype Williams canvas of dreamy nighttime color and beautifully appointed interiors belies the claustrophobic oppression and squalor of the world of exploitation he portrays. The epitome of late 90s aesthetic vibes all pointing to a new century of youth culture dominated by drugs, sex,…
★★★★ Had tickets to see this in 35mm back in the fall but couldn't make it for reasons I completely forget. Having finally seen it I can now say I definitely wouldn't have forgotten about that night if I ended up going. I've never seen lights used like this before, felt like I was discovering a whole new way of making movies.
Anyone who says the only noteworthy part of this film are the first 10 minutes (don't get me wrong, great opening) hasn’t seen the last 10 minutes.
★★★★½ “Black literature is taught as sociology, as tolerance, not as a serious, rigorous art form.” - Toni Morrison
★★★★★ After a Kubrick-on-speed diamond heist at a neon-blacklit strip club, Nas walks into DMX's crib, turns on the plasma TV and confusedly watches GUMMO as DMX angrily plays billiards by himself, frustrated that his cohort isn't shutting up and appreciating the movie.
These are the first 7 minutes of BELLY .
★★★★ Superb blaxploitation with the additional jolt of having metabolized 20 years of crime films and rap videos, constantly placing you as a secret observer in a culture simultaneously of everyday detail and almost apocalyptic weirdness. This thing will zip from an empty project concrete basketball court on a freezing morning to a plantation-like mansion under assault by an acrobatic female assassin that looks like Tina Turner in THUNDERDOME crossed with a luchador. Visually this is literally slathered in blackness, teasing information out of ultra-dark environments lit by infrared or bursts of gunfire. Strange and powerful.
★★★★½ convinced the 16% rotten tomatoes was racially charged
★★★★½ Saw this on 35mm for the first time tonight and it was even more of a thunderclap sensory explosion than I’d expected. Gorgeous, proud, brilliantly lit and staged, sometimes incoherent, funny, tragic, genuinely apocalyptic and end-of-the-millennium poetic. As bad as Nas is, DMX is that good. And the soundtrack is unusually smart—intermingling boom bap with dancehall, Southern rap with jazz and cleverly leaning on a capella renditions of R&B songs for a wildly operatic effect during Hype Williams’ orgy-of-light slow motion set pieces. Who wants to raise some money for Hype’s long-awaited follow up?
★★★★ Had a little trouble following the plot at first, then realized it's more about vibe.
★★★★★ Looking at reviews of Belly from the time of its release irritates me to no end - constant talk over the films supposed ""style over substance,"" complaints about a thin plot (bizarre even moreso in retrospect, because it's actually rather intricate), & I suppose I could at least partially forgive the former given that this movie completely defined the look of hip-hop in the 2000s - something of course spearheaded by Hype Williams himself and still imitated to this day. Of course, the initial response is almost certainly related to the relentless pile-on critics would lump on young, ambitious and even innovative black directors in the 1990s (see also: nearly every film John Singleton made after Boyz N The Hood) but…
★★★★★ 95
Total masterpiece. All there is to it. Hype Williams, please make another film, for our sake.
My pick for the week over at AnotherLook with Will and Corey: anchor.fm/willandcorey/episodes/Belly-e1vsekd"
Afterlife of the Party (2021),what is reality?; Netflix Exclusive Films!; 2021,Moving relationship stories; Heartfelt and sentimental family stories; Emotional and heartfelt family dramas; Quirky and endearing relationships; Powerful stories of heartbreak and suffering; Emotional teen coming-of-age stories,A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,,1.95,"★★★ I thought I was watching it ironically but then I started crying
I think we ALL like to party...
★★★ The fact that this film was labelled as “comedy” but the main character is dead, kind of twisted from Netflix's part. Otherwise, this is essentially a one hour and forty minutes long episode of The Good Place.
★★½ letterboxd community needs to stop dragging fun movies with females leading. not everything has to be the godfather.
½ there are hundreds and hundreds of incredible films in my watchlist that i’m yet to see, but i choose to watch shit like this 😀
★★★ iDie with Victorious
½ this bitch parties all the time and then dies hitting her head on the toliet ???? so lame
★ This is the worst episode of the good place
★½ Did anybody else fuck with Eye Candy ? The Victoria Justice serial killer thriller? on MTV? Based on the novel by R.L. Stine? That was unfortunately canceled after only one season? Anyone? No? I guess I'm the only one. I fucked with Eye Candy pretty hard. It was a fun little show. Victoria Justice deserves another Eye Candy 😔 not this shitty millennial version of It's A Wonderful Life .
👩🏻📸🤳🏻🍸🍾😇
Kinda crazy how Addison Rae got a Netflix movie before Victoria Justice
★★★½ This damn movie has no right to be as good as it is. In fact, I'd written it off as an annoying movie about an annoying character that was desperately unfunny within the first half hour. But the damn movie just... gets good. It takes that annoying character and introduces characters we do like and then has the audacity - the sheer audacity - to start making us like the lead too. I'm annoyed. And annoyed that I'm so annoyed because every movie has the right to be good.
Afterlife of the Party is about a vacuous, self-centered party girl who dies stupidly and winds up in one of those Hollywood afterlives where she has to straighten up the lives…
★ there’s literally ZERO poor people in this movie. Amazing."
GWAR - Scumdogs XXX Live! The 30th Anniversary Reunion Show (2020),Things That Piqued My Interest & Tickled My Fancy; Not movies,,"GWAR, the greatest live band In the universe unleashed Scumdogs XXX Live! The 30th Anniversary reunion show of the shock rock classic Scumdogs of the Universe!",,4.64,"★★★★★ Infinity stars! GWAR shows are great! I’ve been to a few back in the day, I’ve even partied with Dave when the Dave Brockie Experience came around. Now you can say GWAR is not the same without him, true, but the music is great and the remaining members do a great job keeping the band going through all the shit. Hail GWAR! 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻
★★★★★ HERE'S A LITTLE SOMETHIN FROM A GOD TO A SLAVE I NEVER SHOULDA BEEN LET OUT THE FUCKIN MICROWAVE I'M ON THIS PLANET, I'M RUNNIN AMOK I SHOULD GIVE A SHIT, BUT I DON'T GIVE A FUCK
★★★★★ balsac is literally the love of my life what are you talking about
★★★★ This was fun to watch, nostalgic to hear these songs brought back to life, and while Blothar (Bishop) beings a meaner and darker tone to these songs and honors them well, a humongous Oderus Urangus (Brackie, RIP) is missing, and his more flamboyant delivery brought more ridiculousness and charm to songs with lyrics such as on The Salamanizer: ""You humans always screaming As you suckle on my semen And the shit is always steaming..."" Only GWAR...
★★★★★ i loved when we waited for 30 minutes on the livestream with a “please standby” screen
★★★★★ this brings me indescribable joy and i can’t wait for the live viewing in november
Is GWAR the best band?
★★★½ I watched for the return of the Sexecutioner, Sleazy, and Slymenstra and I was not disappointed."
Arde Madrid (2018),🍽; You can finish these shows in less than 6 hours,,"Madrid, 1961. Ana Mari is single, lame, Francoist and instructor of the Sección Femenina. By order of the dictator Franco, she must go to work as a maid to Ava Gardner's house and spy on her, pretending to be married to Manolo, a hustler who will become the driver of the American actress.",,3.9,"★★★★½ - las mujeres debemos reservarnos, es una cuestión de decencia - ¿y la señora? - la señora es extranjera - ¿y qué pasa? ¿que dios no está en el extranjero? - dios sí, pero franco no
sobre pureza e indecencia, sobre franco y perón y sobre todo de represión
★★★★ Ocho episodios de pura gozadera. Nostálgica, divertida y cínica. Eso y más es este retrato de Paco León hacía una figura tan grande de Hollywood -Ava Gardner- y su paso en Madrid. El arte es maravilloso desde las cortinillas, e Inma Cuesta, León, Anna Castillo y Debi Mazar están estupendos. Resulta entrañable y vigente que un relato de época como este, explore temas femeninos que hoy en día se siguen cuestionando, como el despertar sexual, la libertad y el poder de decisión sobre el cuerpo de cada quien. Muy fan de León como director.
""Si no hay hombre no hay pecado""
a veces todo lo que una chica (yo) necesitaría es que ava gardner la invitara a una fiesta
★★★★½ ""no hay lugar con el cielo tan jodidamente bonito como madrid""
poorly aged, la verdad.
★★★★ Después del 2020, daría el reino de España por una fiesta en la casa de Ava....
★★★½ peron maricon
★★½ No se porqué la he vuelto a ver...pero no, no me dice nada del otro mundo.
★★★ Está bastante entretenida aunque sinceramente esperaba más.
★★★★★ THAT WAS A CULTURAL RESET
★★★★ Sigo en racha con el bellísimo y colorista blanco y negro (para colmo reviví la imponente, imprescindible, 'La cinta blanca' hace unas horas). Tenía guardada esta serie hace años y la he disfrutado tanto como esperaba. Me atrapa como retrato de una época tétrica de España, como parodia cinéfila, como cortante crítica social y política, como comedia sórdida. Quizás la trama, el McGuffin, del collar me sabe a poco pero los personajes, los actores, el retrato, el ritmo me gustan tanto que me da igual. Paco León me parece un artista a seguir más allá de su oficio como actor. Anna Castillo me enternece siempre. Un aplauso cojo, sordo y loco desde mi sofá.
★★★★ Ava Gardner, Lola Flores, la División Femenina, Isabelita Perón, Carmen Sevilla, Franco, churros y una cabra."
To Kill a Man (2014),Anxiety-Inducing Cinema; Under 100 Minutes; movies under 85 minutes for when you have a life outside of letterboxd but still want to watch something; Film Poster Déjà Vu; ✈️Best International Feature Film (Best Foreign Language Film) Academy Awards Submissions (1947 – 2025); (almost) every title from worldscinema.org; World Cinema - The Ultimate Collection,,"Jorge is a peaceful hard-working man who seeks a simple, quiet life for himself and his family. One day, he is mugged and humiliated by a gang of thugs led by Kalule, a delinquent from his neighborhood. This event infuriates his son as much for Jorge’s meek acceptance as for the act itself. The son, looking for retribution, ends up getting himself shot. Kalule is sent to jail and when he gets out 18 months later, begins a campaign of terror against Jorge and his family. The authorities do nothing, so Jorge decides to take matters into his own hands.",,3.75,"★★★★ pacos culiaos no hacen ni una hueá
★★★½ La venganza nunca es buena Mata el alma Y la envenena
7 escopetas de 10
★★★★ The score creeps up on you, getting louder, turned up and up, to 11, it feels like someone stepping on your head. Perfect way to describe how a hardworking man feels when on his way home after work some lowlife motherfuckers start harassing him. First there are insults, then it gets physical, now it extends to his family. Slow burn revenge film from Chile is a great portrait of a good man driven to violence. The best thing is how it shows that revenge even when justified, poisons the soul of good people.
★★★★½ A malos hombres no le pesa matar buenos hombres, pero a los buenos hombres, la culpa los mata.
★★★½ The World is More Than Enough 11: Crime Travelling
2/30 - Chile
To Kill a Man is a reminder, not that you should need any, that no matter where you are in the world the police are fucking useless and should be defunded.
This family report crimes against them again and again to absolutely no avail, leaving themselves in an almost impossible position. Alejandro Fernández Almendras doesn't delve too much into the law - in fact, he doesn't delve into anything too deeply here. However the surface story is familiar as is the situation this family finds themselves in.
It was slightly frustrating that Almendras doesn't look more deeply into things, such as this family, but in that regard it's…
★★★ ""I'll fuck you and your entire family.""
One of my favorite recent cinematic trends is the rise of stripped down and ""realistic"" revenge drama. I assume this is a direct reaction to the success of Taken and the seemingly infinite amount of clones that have propagated in its wake. Deconstructions are great, and although the revenge deconstruction category is getting a little crowded I can still get down with it.
The most common descriptor of To Kill A Man I've seen is ""slow burn"" and it is entirely accurate. From the pacing to the score to the cinematography, everything combines to build in tension until the whole thing snaps. It isn't a steady journey there, but thanks to some truly tense scenes it is worth it in the end.
★★★★ Cuando salia Antivilo mis nervios explotaban.
★★★ good, i guess? another self-consciously restrained, formally placid, thematically unadventurous crime/revenge drama. i've seen five of these since September '13.
★★★½ An attack on his daughter leads a mild-mannered family man (Daniel Candia) to take revenge on the vicious street thugs who have tormented him and his family for a long time.
Well done, unique Spanish language film.
★★★★ puta k es wena la fotografía
★★★★ March Around the World 2026 - 34th Stop - Chile🇨🇱
Daniel Candia is excellent as a hard-working family man pushed over the edge in this gritty, stripped-down, tightly scripted, slow burn revenge thriller from Alejandro Fernández Almendras. Very well done.
We first meet Jorge (Candida) walking home through his low-income housing estate where he is accosted by local thug Kalule (Daniel Antivilo) and his gang. Jorge meekly submits and makes it home, where his teen son Jorgito (Ariel Mateluna) is enraged to hear what happened. Confronting Kalule, Jorgito is shot and grievously injured. Kalule gets a short sentence and, upon his release, begins a terror campaign against the family. Getting no help from the authorities, Jorge sees no choice but…
★★★★ 80/100
Posiblemente, de los ""basado en hechos reales"" que mas quedé pal' hoyo. Ya es Septiembre y mi cuerpo lo sabe.
VIVA SHILE MIERDA!!!!!!!!!"
Apricots (1996),Precious Gems,,"""Apricots"" (Aprikoser) is an animated children film about a boy that spends the day at the seaside with his uncle. During the adventurous games he learns the power of nature.",,2.75,"★★★★ Mysig gosig härlig. Lite annat i mitten. Go musik och gull röst. Fin att se på.
Såg på filmarkivet
★½ animation pour traumatiser des gosses ça"
One Summer's Day (2020),sapphic films directed by women; Sapphics in Coming-of-Age Films; 🍽; Sapphic Short Films; The entire gl,,"Every summer, Hsuan, Yei, and Chi jump into the pool together. Yei is always faster than Hsuan, but Hsuan doesn't care about winning or losing. All she wants is to stay with Chi, slowly, naturally, till they reach Taipei.",,3.45,"★★★★½ ""I loved you first.""
Having someone whom you genuinely enjoy being with is one of the greatest things in life. The way you just enjoy the world you share with her. You avoid and hate the things that might break you apart. Not passing the SAT while she did? Retake it and study even harder so that you'll get higher grades and don't miss the chance of going to Taipei with her. A boy giving her rides home? Give her the cold shoulder, ruin your shared happy place, and then confront her. But of course, in the end, you know you'll stay together no matter what happens.
★ honestly im not sure if i was just trying too hard to find meaning or if the movie just wasn’t going anywhere
★★★★½ Let your gentle heart go as slow as you wished (it's okay to cry now).
★★★½ the metaphor of unrequited love feeling like drowning wow
★★★½ “I loved you first”
ser lésbica não é fácil não ta doido
Wish this was a feature film, it had a nice little atmosphere.
really cool visuals & good story. i kinda need it to be a feature film
★★★ o tal do amor não correspondido.
★★½ Não achei que iria mencionar a Ethel Cain nesse GL e, por causa de uma frase desse curta, eu irei!!! Ethel Cain, na música Janie , fala sobre amizade e perda, e me fez lembrar a cena que a Hsuan fala:
“Eu te amei primeiro” 💔
Parte da música que me lembrou.
“I know she's your girl now But she was my girl first She was my girl first”
O mais puro amor é aquele construído com a convivência e com a parceria, e a relação da Hsuan com a Chi vem de uma amizade muito linda. O carinho em brincadeiras simples e o amor silencioso é quase imperceptível se você não soubesse que é um ""romance"". A história é curtinha e, com seus 20min, faz acreditar que vai ser algo lindinho de ver, e deixo aqui a minha frustração com o final que foi, tudo que as protagonistas poderiam ter sido.
★★★★½ i loved you first!
unrequited sapphic love begins to feel like drowning why must it be so hard to be loved by those we want
★★★★ i loved you first. ahh this reminded me of soul mate . codependent highschool friendships full of jealousy. feelings of betrayal - ‘when you arrive in taipei and you adore someone you have to tell me ’. i truly believe that it wasn’t about the boy himself. rather they wanted to be connected in every aspect of the others life.
★★★½ esse curta só me corrói por dentro porque eu me identifico com a hsuan"
